id;title;album;artist
1;JÉGHIDEG;1;Krúbi
2;LEJTŐ;1;Krúbi
3;FELEJTŐ;1;Krúbi
4;CSEKK;1;Krúbi
5;DINAMIT;1;Krúbi
6;PETŐFI;1;Krúbi
7;PUSZI;1;Krúbi
8;SAPIENS;1;Krúbi
9;KUTYA;1;Krúbi
10;COPFOCSKA;1;Krúbi
11;Keep My Spirit Alive;2;Kanye West
12;Jesus Lord pt 2;2;Kanye West
13;Heaven And Hell;2;Kanye West
14;Remote Control;2;Kanye West
15;Tell The Vision;2;Kanye West
16;Jonah;2;Kanye West
17;Pure Souls;2;Kanye West
18;Ok Ok;2;Kanye West
19;New Again;2;Kanye West
20;Jesus Lord;2;Kanye West
21;Ok Ok Pt 2;2;Kanye West
22;Junya Pt 2;2;Kanye West
23;Jail Pt 2;2;Kanye West
24;Keep My Spirit Alive pt 2;2;Kanye West
25;No Hotel;3;Lykke Li
26;You Don't Go Away;3;Lykke Li
27;Highway To Your Heart;3;Lykke Li
28;Happy Hurts;3;Lykke Li
29;Carousel;3;Lykke Li
30;5D;3;Lykke Li
31;Over;3;Lykke Li
32;ü&i;3;Lykke Li
33;I Never Learn;4;Lykke Li
34;No Rest For The Wicked;4;Lykke Li
35;Just Like A Dream;4;Lykke Li
36;Silver Line;4;Lykke Li
37;Gunshot;4;Lykke Li
38;Love Me Like I'm Not Made Of Stone;4;Lykke Li
39;Never Gonna Love Again;4;Lykke Li
40;Heart Of Steel;4;Lykke Li
41;Sleeping Alone;4;Lykke Li
42;Melodies & Desires;5;Lykke Li
43;Dance, Dance, Dance;5;Lykke Li
44;I'm Good, I'm Gone;5;Lykke Li
45;Let It Fall;5;Lykke Li
46;My Love;5;Lykke Li
47;Tonight;5;Lykke Li
48;Little Bit;5;Lykke Li
49;Hanging High;5;Lykke Li
50;This Trumpet In My Head;5;Lykke Li
51;Complaint Department;5;Lykke Li
52;Breaking It Up;5;Lykke Li
53;Everybody But Me;5;Lykke Li
54;Time Flies;5;Lykke Li
55;Window Blues;5;Lykke Li
56;Getting Older;6;Billie Eilish
57;I Didn't Change My Number;6;Billie Eilish
58;Billie Bossa Nova;6;Billie Eilish
59;my future;6;Billie Eilish
60;Oxytocin;6;Billie Eilish
61;GOLDWING;6;Billie Eilish
62;Lost Cause;6;Billie Eilish
63;Halley's Comet;6;Billie Eilish
64;Not My Responsibility;6;Billie Eilish
65;OverHeated;6;Billie Eilish
66;Everybody Dies;6;Billie Eilish
67;Your Power;6;Billie Eilish
68;NDA;6;Billie Eilish
69;Therefore I Am;6;Billie Eilish
70;Happier Than Ever;6;Billie Eilish
71;Male Fantasy;6;Billie Eilish
72;Strangers By Nature;7;Adele
73;Easy On Me;7;Adele
74;My Little Love;7;Adele
75;Cry Your Heart Out;7;Adele
76;Oh My God;7;Adele
77;Can I Get It;7;Adele
78;I Drink Wine;7;Adele
79;All Night Parking Interlude;7;Adele & Erroll Garner
80;Woman Like Me;7;Adele
81;Hold On;7;Adele
82;To Be Loved;7;Adele
83;Love Is A Game;7;Adele
84;Say You Will;8;Kanye West
85;Welcome To Heartbreak;8;Kanye West Feat. Kid Cudi
86;Heartless;8;Kanye West
87;Amazing;8;Kanye West Feat. Young Jeezy
88;Love Lockdown;8;Kanye West
89;Paranoid;8;Kanye West Feat. Mr. Hudson
90;RoboCop;8;Kanye West
91;Street Lights;8;Kanye West
92;Bad News;8;Kanye West
93;See You In My Nightmare;8;Kanye West Feat. Lil Wayne
94;Coldest Winter;8;Kanye West
95;Pinocchio Story [Live];8;Kanye West
96;Cracker Island;9;Gorillaz Feat. Thundercat
97;Oil;9;Gorillaz Feat. Stevie Nicks
98;The Tired Influencer;9;Gorillaz
99;Silent Running;9;Gorillaz Feat. Adeleye Omotayo
100;New Gold;9;Gorillaz Feat. Tame Impala & Bootie Brown
101;Baby Queen;9;Gorillaz
102;Tarantula;9;Gorillaz
103;Tormenta;9;Gorillaz Feat. Bad Bunny
104;Skinny Ape;9;Gorillaz
105;Possession Island;9;Gorillaz Feat. Beck
106;Intro;10;Gorillaz
107;Last Living Souls;10;Gorillaz
108;Kids With Guns;10;Gorillaz Feat. Neneh Cherry
109;O Green World;10;Gorillaz
110;Dirty Harry;10;Gorillaz Feat. Bootie Brown
111;Feel Good Inc.;10;Gorillaz Feat. De La Soul
112;El Manana;10;Gorillaz
113;Every Planet We Reach Is Dead;10;Gorillaz
114;November Has Come;10;Gorillaz Feat. MF DOOM
115;All Alone;10;Gorillaz Feat. Roots Manuva
116;White Light;10;Gorillaz
117;Dare;10;Gorillaz Feat. Shaun Ryder
118;Fire Coming Out Of The Monkey's Head;10;Gorillaz
119;Don't Get Lost In Heaven;10;Gorillaz
120;Demon Days;10;Gorillaz
121;Donda Chant;11;Kanye West
122;Hurricane - Version 2;11;Kanye West
123;Moon;11;Kanye West
124;Life Of The Party;11;Kanye West
125;Off The Grid;11;Kanye West
126;Jail;11;Kanye West
127;Praise God;11;Kanye West
128;Come to Life;11;Kanye West
129;Believe What I Say;11;Kanye West
130;No Child Left Behind;11;Kanye West
131;Up From The Ashes;11;Kanye West
132;Remote Control Pt 2;11;Kanye West
133;God Breathed;11;Kanye West
134;Lord I Need You;11;Kanye West
135;24;11;Kanye West
136;Junya;11;Kanye West
137;Never Abandon Your Family;11;Kanye West
138;Donda;11;Kanye West
139;Flowers;12;Miley Cyrus
140;Jaded;12;Miley Cyrus
141;Rose Colored Lenses;12;Miley Cyrus
142;Thousand Miles;12;Miley Cyrus Feat. Brandi Carlile
143;You;12;Miley Cyrus
144;Handstand;12;Miley Cyrus
145;River;12;Miley Cyrus
146;Violet Chemistry;12;Miley Cyrus
147;Muddy Feet;12;Miley Cyrus Feat. Sia
148;Wildcard;12;Miley Cyrus
149;Island;12;Miley Cyrus
150;Wonder Woman;12;Miley Cyrus
151;Intro: I Switched My Robot Off;13;Gorillaz
152;Ascension;13;Gorillaz
153;Strobelite;13;Gorillaz
154;Saturnz Barz;13;Gorillaz
155;Momentz;13;Gorillaz
156;Interlude: The Non-Conformist Oath;13;Gorillaz
157;Submission;13;Gorillaz
158;Charger;13;Gorillaz
159;Interlude: Elevator Going Up;13;Gorillaz
160;Andromeda;13;Gorillaz
161;Busted And Blue;13;Gorillaz
162;Interlude: Talk Radio;13;Gorillaz
163;Carnival;13;Gorillaz
164;Let Me Out;13;Gorillaz
165;Interlude: Penthouse;13;Gorillaz
166;Sex Murder Party;13;Gorillaz
167;She's My Collar;13;Gorillaz
168;Interlude: The Elephant;13;Gorillaz
169;Hallelujah Money;13;Gorillaz
170;We Got The Power;13;Gorillaz
171;Dark Fantasy;14;Kanye West
172;Gorgeous;14;Kanye West Feat. Kid Cudi & Raekwon
173;POWER;14;Kanye West
174;All Of The Lights (Interlude);14;Kanye West
175;All Of The Lights;14;Kanye West
176;Monster;14;Kanye West Feat. Jay-Z, Rick Ross, Nicki Minaj & Bon Iver
177;So Appalled;14;Kanye West Feat. Jay-Z, Pusha T, Prynce Cy Hi, Swizz Beatz & The RZA
178;Devil In A New Dress;14;Kanye West Feat. Rick Ross
179;Runaway;14;Kanye West Feat. Pusha T
180;Hell Of A Life;14;Kanye West
181;Blame Game;14;Kanye West Feat. John Legend
182;Lost In The World;14;Kanye West Feat. Bon Iver
183;Who Will Survive In America;14;Kanye West
184;Orchestral Intro;15;Gorillaz Feat. Sinfonia ViVA
185;Welcome To The World Of The Plastic Beach;15;Gorillaz Feat. Snoop Dogg & Hypnotic Brass Ensemble
186;White Flag;15;Gorillaz Feat. Bashy, Kano & The National Orchestra For Arabic Music
187;Rhinestone Eyes;15;Gorillaz
188;Stylo;15;Gorillaz Feat. Bobby Womack & Mos Def
189;Superfast Jellyfish;15;Gorillaz Feat. Gruff Rhys & De La Soul
190;Empire Ants;15;Gorillaz Feat. Little Dragon
191;Glitter Freeze;15;Gorillaz Feat. Mark E. Smith
192;Some Kind Of Nature;15;Gorillaz Feat. Lou Reed
193;On Melancholy Hill;15;Gorillaz
194;Broken;15;Gorillaz
195;Sweepstakes;15;Gorillaz Feat. Mos Def & Hypnotic Brass Ensemble
196;Plastic Beach;15;Gorillaz Feat. Mick Jones & Paul Simonon
197;To Binge;15;Gorillaz Feat. Little Dragon
198;Cloud Of Unknowing;15;Gorillaz Feat. Bobby Womack & Sinfonia ViVA
199;Pirate Jet;15;Gorillaz
200;Save Your Tears;16;The Weeknd
201;Blinding Lights;16;The Weeknd
202;In Your Eyes;16;The Weeknd
203;Can't Feel My Face;16;The Weeknd
204;I Feel It Coming;16;The Weeknd Feat. Daft Punk
205;Starboy;16;The Weeknd Feat. Daft Punk
206;Pray For Me;16;The Weeknd & Kendrick Lamar
207;Heartless;16;The Weeknd
208;Often;16;The Weeknd
209;The Hills;16;The Weeknd
210;Call Out My Name;16;The Weeknd
211;Die For You;16;The Weeknd
212;Earned It (Fifty Shades Of Grey);16;The Weeknd
213;Love Me Harder;16;Ariana Grande Feat. The Weeknd
214;Acquainted;16;The Weeknd
215;Wicked Games;16;The Weeknd
216;The Morning;16;The Weeknd
217;After Hours;16;The Weeknd
218;Humility;17;Gorillaz
219;Tranz;17;Gorillaz
220;Hollywood;17;Gorillaz
221;Kansas;17;Gorillaz
222;Sorcererz;17;Gorillaz
223;Idaho;17;Gorillaz
224;Lake Zurich;17;Gorillaz
225;Magic City;17;Gorillaz
226;Fire Flies;17;Gorillaz
227;One Percent;17;Gorillaz
228;Souk Eye;17;Gorillaz
229;"Personal Jesus [7"" Version]";18;Depeche Mode
